Crash Type,Report Made?,Date / Time,Case Number,District,Crash Location,Lanes Of Traffic,Signal Present?,Speed Limit Of Road (MPH),Road Type,Synopsis,Ticket/Arrest?,Citation To,Pedestrian Age,Pedestrian Gender,Pedestrian City Of Residence,Pedestrian Zip Code,Biker Age,Biker Gender,Biker City of Residence,Biker Zip Code,Driver Age,Driver Gender,Driver City Of Residence,Driver Zip Code,Injury to Pedestrian?,Level of Injury to Pedestrian,Pedestrian to Hospital?,Injury to Biker?,Level of Injury to Biker,Biker to Hospital?,Crash Lat/Long Location,Count,District Council - Map,Council Ward
Pedestrian,Yes,12/27/2018 08:30:00 PM,18-293063,Western District,Snelling Ave N & University Ave W,4,Yes,30,State - Trunk Highway,"Unit 1 was stopped at a solid green light in the southbound lanes of Snelling Ave N at the intersection of University Ave W. Unit 1 made a left hand turn onto eastbound University Ave W when she collided with the pedestrian. The pedestrian attempted to walk from the median light rail platform to the south sidewalk on University Ave W. After the collision, the pedestrian fell to the ground which caused pain to the right side of his mid section. Unit 1 advised her vehicle had two small children inside the vehicle and one of the children did not have a seat belt on which caused her to bump her mouth which caused slight bleeding. The driver of Unit 1 stayed on scene but the vehicle did not as another passenger drove the vehicle away from the scene.Metro Transit PD and SPFD Medic #14 arrived on scene. The pedestrian was transported to Regions Hospital due to complaint of the pain to the right side of his midsection. The driver of Unit 1 was cited for Driving After Revocation, NO Insurance-Driver and Failed to Yield to Pedestrian in Crosswalk. Nothing further.",Yes,Driver,36,Male,Chaska,55318,,,,,42,Female,St. Paul,55117,Yes,Suspected Minor Injury,Yes,,,,"(44.95553662, -93.16682523)",1,17,7
Pedestrian,Yes,11/04/2018 11:13:00 AM,18-252667,Central District,Rice St & Wheelock,3,Yes,30,County - State Aid Highway,Driver was SB Rice and turning EB on Wheelock.  Pedestrian was crossing NB in crosswalk and was struck.  Driver cited for FTY Ped.,Yes,Driver,17,Female,Maplewood,55107,,,,,39,Male,St. Paul,55117,No,None,No,,,,"(44.99000225, -93.10586504)",1,3,3
Pedestrian,Yes,05/07/2018 05:00:00 PM,18-095740,Central District,Acker St E & Cortland Pl,0,No,10,Private,Driver backed out of a driveway and struck a pedestrian.,No,None,3,Male,St. Paul,55117,,,,,37,Female,Minneapolis,55407,Yes,Suspected Minor Injury,Yes,,,,"(44.96399703, -93.09589338)",1,3,3
Pedestrian,Yes,03/22/2018 10:46:00 PM,18-059353,Western District,Hwy 280 & Como Ave,3,No,30,Municiapl State Aid,Pedestrian was crossing Como underneath Hwy 280.  Unknown vehicle struck pedestrain and fled.  Limited description given.  Case is open for investigation.,No,None,26,Male,Cambridge,55008,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,,,,"(44.98792905, -93.20429875)",1,1,4
Bike,Yes,05/09/2018 02:10:00 PM,18-097376,Western District,Snelling Ave N & Summit Ave,2,Yes,30,Municiapl State Aid,Squads responded to a crash at the intersection of Snelling Avenue and Summit Avenue. A school bus that was facing east on Summit Ave in the intersection in the left turn lane turning north crashed with a bicyclist heading west on Summit Avenue.  The cyclist impacted the front of the bus at an angle as the bus was in the process of turning northbound. The cyclist was pronounced dead by Saint Paul FD personnel.,No,None,,,,,75,Male,Minneapolis,55414,80,Male,St. Paul,55117,,,,Yes,FATAL,Yes,"(44.94147545, -93.16702932)",1,17,6
Bike,Yes,10/08/2017 04:39:00 PM,17-238107,Western District,Avon St N & Holly Ave,2,Stop Sign,30,City,Biker NB Avon failed to stop at stop sign and was struck by vehicle WB Holly.,Yes,Biker,,,,,22,Male,Minneapolis,55441,64,Female,St. Paul,55104,,,,Yes,Suspected Minor Injury,No,"(44.94320048, -93.13379413)",1,9,7
Pedestrian,Yes,02/05/2017 07:24:00 PM,17-033856,Western District,Dale St N & Aurora Ave,4,No,30,County - State Aid Highway,Pedestrian crossing Dale on north side of Aurora/.  Vehicle stopped in left lane and waived at pedestrian (motioning to cross). Pedestrian crossed. Vehicle began to drive and struck pedestrian then fled scene.,No,None,15,Female,Edina,55410,,,,,28,Male,St. Paul,55117,Yes,Possible Injury,No,,,,"(44.950336, -93.12632)",1,9,7
Pedestrian,Yes,04/29/2018 03:25:00 PM,18-088108,Western District,Como Ave & Lexington Pkwy,2,No,30,City,"Pedestrian was crossing Como Ave, W of Lexington when struck by a moped.  Vehicle had the right of way.",No,None,24,Male,West St. Paul,55118,,,,,40,Male,Minneapolis,55419,Yes,Possible Injury,Yes,,,,"(44.9775112, -93.14941246)",1,2,4
Pedestrian,Yes,05/03/2018 04:51:00 PM,18-091885,Western District,Snelling Ave N & Shields Ave,2,Stop Sign,30,City,"Driver was EB on Shields, making a right turn to SB Snelling.  Pedestrian crossing in crosswalk.  Driver was looking left and started driving, bumping the pedestrian.",No,None,50,Male,St. Paul,55104,,,,,38,Male,Minneapolis,55414,No,None,No,,,,"(44.95399257, -93.16727695)",1,17,4
Bike,Yes,05/09/2018 07:38:00 PM,18-097637,Western District,Minnehaha Ave W & Griggs St,2,No,30,Municiapl State Aid,Vehicle was driving EB on Minnehaha.  Bike was EB on Minnehaha.  Driver turned on their signal and began parking on right.  Biker did no see this and drove into the vehicle.,No,None,,,,,23,Male,St. Paul,55104,65,Male,Inver Grove Heights,55077,,,,Yes,Suspected Minor Injury,Yes,"(44.9628017, -93.15274924)",1,4,4
Bike,Yes,05/04/2018 04:10:00 PM,18-092867,Western District,Cleveland Ave N & Marshall Ave,2,No,30,County - State Aid Highway,Driver was traveling northbound on Cleveland Ave and was turning left into the alley between Marshall Ave and Iglehart Ave.  When driver made the left turn it struck the biker who was traveling southbound in the bike lane. Biker was transported to the hospital with non-life threatening injuries. No citations issued.,No,None,,,,,56,Male,St. Paul,55108,69,Female,St. Paul,55104,,,,Yes,Suspected Minor Injury,Yes,"(44.94864516, -93.18741235)",1,17,4
Pedestrian,Yes,05/13/2018 03:15:00 PM,18-100900,Western District,University Ave W & Grotto St N,2,No,30,City,"Pedestrian was walking SB on W sidewalk of Grotto, just N of University.  Vehicle backed out of a parking spot and struck the pedestrian.  Driver told the pedestrian they would be back, but fled and did not return.  Possible suspect information, case is open for investigation.",No,None,57,Female,St. Paul,55106,,,,,,Male,Unknown,Unknown,Yes,Possible Injury,Yes,,,,"(44.95592355, -93.13142358)",1,10,7
Pedestrian,Yes,03/02/2017 10:01:00 AM,17-045347,Central District,St. Peter Street & Exchange,2,Yes,30,Municipal State Aid,"Vehicle was SB on St. Peter, making a left turn onto EB Exchange.  Pedestrian was SB in E x-walk at Exchange, crossing with signal.  Driver admitted not seeing the pedestrian, claimed the sun was blocking vision.  Driver cited for failure to yield to pedestrian.  Pedestrian transported to hospital with non-life threatening injuries.",Driver,Yes,21,Male,St. Paul,55101,,,,,45,Female,St. Paul,55102,Yes,Suspected Minor Injury,Yes,,,,"(44.948474, -93.098888)",1,12,5
Pedestrian,No,03/13/2017 04:17:00 PM,17-054585,Western District,2550 University Ave W,2,No,30,City,Unknown - no report made.,No,None,,Male,Unknown,Unknown,,,,,,Female,Unknown,Unknown,No,None,No,,,,"(44.965856, -93.203621)",1,1,4
Bike,Yes,05/05/2018 10:10:00 PM,18-094086,Central District,5 St E & Wall St,3,Yes,30,Municiapl State Aid,"Driver was NB on Wall St with a green light.  Biker was WB on 5th and drove into car (against red light).  Biker fled, but was located and arrested for a warrant.",Yes,Biker,,,,,35,Male,St. Paul,55130,32,Female,Hudson (WI),54016,,,,No,None,No,"(44.94981959, -93.08586789)",1,12,5
Bike,Yes,07/07/2017 05:40:00 PM,17-156547,Western District,University Ave W & Syndicate St,4,No,30,County - State Aid,"Bike was riding WB on S sidewalk, then crossing Syndicate.  Vehicle was SB Syndicate and struck bike.",No,None,,,,,14,Female,St. Paul,55104,36,Female,St. Paul,55104,,,,Yes,Possible Injury,Yes,"(44.95552267, -93.15425283)",1,17,7
Pedestrian,Yes,11/03/2017 06:19:00 PM,17-257953,Central District,Robert St N & 10th St E,4,Yes,30,State - Trunk Highway,"Driver was EB 10th, making left to NB Robert and struck pedestrian. Driver stated he did not see the pedestrian.",No,None,62,Male,St. Paul,55104,,,,,46,Male,St. Paul,55104,Yes,Suspected Minor Injury,Yes,,,,"(44.95135709, -93.09465476)",1,12,5
Pedestrian,Yes,03/14/2017 03:17:00 PM,17-055386,Western District,Como Ave & Hendon Street,2,No,30,Municipal State Aid,"Vehicle was SB Hendon to turn right onto WB Como, after stopping for stop sign.  Pedestrian was crossing EB in N crosswalk.",No,None,73,Female,St. Paul,55105,,,,,64,Male,Woodbury,55125,Yes,Possible Injury,Yes,,,,"(44.986127, -93.200381)",1,1,4
Pedestrian,Yes,10/06/2017 05:11:00 PM,17-236520,Central District,5 St E & Wall St,2,Yes,30,Municipal State Aid,Vehicle was EB 5th Street making left to NB Wall.  Ped was EB in N x-walk and was struck.  Driver failed to yield to ped.,Yes,Driver,39,Male,St. Paul,55101,,,,,51,Female,St. Paul,55119,Yes,Suspected Minor Injury,No,,,,"(44.94979794, -93.08589133)",1,12,5
Pedestrian,No,03/06/2017 06:15:00 PM,17-048859,Eastern District,Maryland Ave E & Etna Street,0,No,10,Private,"Vehicle was driving through parking lot and struck pedestrian at low speed.  No injuries.  Police were called, but the pedestrian was not cooperative and began to swear at the police and the driver.  The pedestrian refused to identify herself and left the area.",No,None,,Female,Unknown,Unknown,,,,,19,Male,Unknown,Unknown,No,None,No,,,,"(44.977538, -93.041872)",1,14,1
Pedestrian,Yes,05/25/2018 04:53:00 PM,18-111623,Eastern District,Burr St & Maryland Ave E,4,No,30,County - State Aid Highway,"Driver SB on Burr, making a left turn to EB Maryland.  Pedestrian crossing Maryland in E crosswalk.  Driver was looking right and making left turn, did not see the pedestrian.",Yes,Driver,38,Male,St. Paul,55106,,,,,32,Male,Hudson (WI),54016,Yes,Possible Injury,Yes,,,,"(44.9774, -93.07986208)",1,13,3
Pedestrian,Yes,03/06/2017 09:00:00 PM,17-049033,Central District,7th St E & Wall Street,4,Yes,30,State - Trunk Highway,"Pedestrian was crossing the street at 7th Street East/Wall Street (south side of the street). A vehicle making a left turn onto 7th Street East from Wall Street hit a pedestrian on his right leg. The vehicle, a maroon Dodge Caravan (Unknown license plate), sped away after hitting the pedestrian. The victim sustained minor injuries (scratches/scrapes).",No,None,44,Male,St. Paul,55101,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,No,,,,"(44.951457, -93.087417)",1,12,5
Bike,Yes,10/19/2017 08:44:00 PM,17-246808,Eastern District,Arcade St & Neid,2,Yes,30,Municipal State Aid,16 year old child was riding a bike south on Arcade and crossing on a green light at Neid LN when a unknown vehicle hit him and knocked him off his bike. The vehicle took off North on Arcade. Minor injuries to child's head and left knee. He was transported to Regions Hospital for evaluation.,No,None,,,,,16,Male,St. Paul,55109,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,Yes,"(44.96716717, -93.06607186)",1,13,1
Pedestrian,Yes,11/10/2017 03:45:00 AM,17-262540,Eastern District,Hazelwood St & Reaney,2,No,30,City,"Squads sent to Regions on a Ped Crash.  Victim said he was walking home from a party. Victim said he was not certain of his location, but his best guess was the area around Reaney and Hazelwood. Victim was hit by an unknown vehicle. Victim was transported to the hospital by his girlfriend.",No,None,32,Male,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Serious Injury,Yes,,,,"(44.96405583, -93.0356325)",1,14,2
Bike,Yes,11/10/2017 04:53:00 PM,17-262906,Central District,Kellogg Bd E & Broadway St,4,Yes,30,Municipal State Aid,Driver of Unit 1 was traveling EB on Kellogg and claimed to have the green light at Broadway. Driver of Unit 2 apparently attempted to cross on Broadway from the south side of Kellogg to the north side of Kellogg on his bike. Unit 1 struck Unit 2 causing him to come up and unto her windshield. Driver of Unit 2 smelled of consumed alcoholic beverage and was transported to Region's Hospital with apparent non life threatening injuries by SPFD. He did not remember anything from the event. Nothing further at this time.,No,None,,,,,41,Male,St. Paul,55106,26,Female,St. Paul,55106,,,,Yes,Possible Injury,Yes,"(44.94865396, -93.08366591)",1,12,5
Pedestrian,Yes,03/17/2017 04:45:00 PM,17-057846,Central District,7th St W & Chestnut St,4,Yes,30,State - Trunk Highway,Pedestrian walked into traffic against the red signal and struck vehicle causing damage.  No injuries.,Yes,Pedestrian,38,Male,St. Paul,55102,,,,,27,Male,St. Paul,55102,No,None,No,,,,"(44.94131, -93.106761)",1,11,5
Bike,Yes,10/22/2017 05:07:00 PM,17-248828,Eastern District,Phalen Blvd & Cayuga St,2,No,35,Municipal State Aid,"Unit 1 was traveling southbound on Mendota Circle at Phalen Blvd. Unit 2 was traveling westbound on Phalen Blvd at Mendota circle, Unit 1 struck unit 2 in crosswalk. No injuries reported.",Yes,Driver,,,,,54,Male,St. Paul,55102,25,Female,South St. Paul,55075,,,,No,None,No,"(44.96596187, -93.06204444)",1,13,1
Bike,Yes,05/15/2018 03:50:00 PM,18-102558,Western District,Snelling Ave N & Marshall St,0,No,10,Private,Driver was exiting Starbucks Paring lot.  Biker was riding on sidewalk.  Driver struck biker.,No,None,,,,,19,Female,St. Paul,55104,37,Female,Mahtomedi,55115,,,,Yes,Suspected Minor Injury,No,"(44.94830106, -93.16682883)",1,17,7
Bike,Yes,04/01/2017 01:03:00 PM,17-070344,Central District,Farrington St & Sherburne,2,No,30,City,"Vehicle was EB Sherburne E of Farrington.  Bike was WB Sherburne on sidewalk, then entered roadway directly in front of vehicle who was unable to stop.  Possible injury to biker.  No citations.",No,None,,,,,15,Fe,St. Paul,55104,27,Male,St. Paul,55104,,,,Yes,Possible Injury,Yes,"(44.95667, -93.113432)",1,10,7
Pedestrian,Yes,10/19/2017 10:21:00 AM,17-246370,Western District,University Ave W & Pascal St N,Private,No,10,Parking Lot,Vehicle was driving fast in parking lot and struck a pedestrian.  Vehicle fled.,No,None,53,Male,St. Paul,55103,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.95214968, -93.16197767)",1,17,7
Pedestrian,No,03/15/2017 04:10:00 PM,17-056265,Western District,University Ave W & Simpson Street,0,No,10,Private,Vehicle backed into a pedestrian who was walking through the parking lot.  No report was made.,No,None,47,Male,St. Paul,55102,,,,,51,Female,Minnetonka,55305,Yes,Suspected Minor Injury,No,,,,"(44.955354, -93.165408)",1,17,7
Pedestrian,Yes,11/07/2017 01:57:00 AM,17-260142,Eastern District,7th St E & Kittson St,4,No,30,State - Trunk Highway,On 11-07-17 at approximately 0157 hours a squad was traveling west on 7th St E when they observed Unit 1 traveling east bound in the outside lane (curb lane) of 7th St E just past Kittson St. They observed Unit 1 appear to hit a large black object in the road on the bridge between Kittson St and Payne Av. The object flew several feet into the air and landed in the east bound lanes on 7th St E. Unit 1 continued east bound without slowing down. Officers determined the object was Pedestrian 2. Officers stopped Unit 1 and found driver 1 showed signs of intoxication. Driver 1 was arrested and a search warrant was obtained for a blood draw. A witness stated Pedestrian 2 had been in the road prior to this incident attempting to be hit on purpose. Medics pronounced Pedestrian 2 deceased at the scene and not transported by medics from the scene. Driver 1 admitted to striking Pedestrian 2 and leaving the scene without stopping to render assistance. Driver 1 also admitted to drinking alcohol earlier in the evening. Driver 1 was booked for Criminal  Vehicular Homicide.,Yes,Driver,39,Male,St. Paul,55102,,,,,24,Male,St. Paul,55106,Yes,FATAL,Yes,,,,"(44.95313975, -93.0801605)",1,15,5
Pedestrian,Yes,04/18/2018 12:35:00 PM,18-079077,Western District,Pascal St N & St. Anthony Ave,0,No,10,Private,Pedestrian is a police officer and was running after a suspect when she was struck by a vehicle (a police squad car).  Minor injury to hand and feet.,No,None,44,Female,St. Paul,55101,,,,,60,Male,St. Paul,55101,Yes,Possible Injury,Yes,,,,"(44.952181, -93.159441)",1,17,7
Pedestrian,No,03/29/2017 07:36:00 PM,17-068105,Western District,Snelling Ave N & Concordia,5,Yes,30,State - Trunk Highway,"Several callers, one reported witnessing a vehicle strike a pedestrian.  Pedestrian was holding her elbow.  Mirror of vehicle broke off and fell to ground.  When police and medics arrived the pedestrian and driver were GOA.  Witness reported seeing the person walk to a near-by house, but police were not able to locate the pedestrian.  The driver, nor pedestrian, did not call the  police.",No,None,,Female,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,Yes,Possible Injury,No,,,,"(44.951226, -93.167224)",1,17,4
Pedestrian,Yes,03/21/2018 07:19:00 PM,18-058458,Western District,Albert St N & University Ave W,4,No,30,County - State Aid Highway,"Pedestrian was crossing University at Albert.  One vehicle stopped, but the other did not, striking the pedestrian. Vehicle fled the scene.",No,None,88,Male,St. Paul,55107,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,,,,"(44.95579491, -93.15941939)",1,4,4
Pedestrian,Yes,10/26/2017 09:39:00 AM,17-251684,Western District,Snelling Ave N & University Ave W,6,Yes,30,County - State Aid Highway,"Vehicle was EB University, making right to SB Snelling.  Pedestrian walking EB University in S X-Walk with right of way. Driver struck pedestrian.",No,None,24,Female,St. Paul,55104,,,,,33,Male,St. Paul,55104,Yes,Possible Injury,No,,,,"(44.95550483, -93.16720083)",1,17,4
Pedestrian,Yes,10/24/2017 03:21:00 PM,17-250303,Eastern District,7 St E & Mounds Blvd,5,Yes,30,State - Trunk Highway,Driver was WB 7th Street making left to SB Mounds Blvd and struck pedestrian who was crossing in S x-walk. Witness stated pedestrian did not have right of way.,No,None,38,Male,St. Paul,55101,,,,,24,Female,Forest Lake,55025,Yes,Possible Injury,Yes,,,,"(44.9571004, -93.07593598)",1,15,2
Pedestrian,Yes,10/18/2017 05:39:00 PM,17-245876,Western District,Milton St N & Dayton Ave,2,No,30,City,3 y/o ran across street and was struck by vehicle.,No,None,3,Male,St. Paul,55104,,,,,73,Female,St. Paul,55104,Yes,Suspected Minor Injury,Yes,,,,"(44.94744765, -93.13865548)",1,9,7
Pedestrian,Yes,04/01/2017 12:52:00 PM,17-070340,Western District,Wynne Ave & Lexington,Private,No,10,Parking Lot,"Pedestrian approached a vehicle that was blocking traffic to ask him to move. The driver was rude and argumentative.  The pedestrian stepped in front of the vehicle to take a photograph of the license plate.  The driver drove forward, striking the pedestrian.  The pedestrian struck the vehicle with a folding chair.  The driver fled the scene prior to police arriving.  No injuries.",No,None,49,Male,Shoreview,55126,,,,,,Unknown,Unknown,Unknown,Yes,Possible Injury,No,,,,"(44.97569, -93.15058)",1,2,4
Bike,Yes,10/19/2017 04:08:00 PM,17-246604,Eastern District,Johnson Pkwy & Case Ave,2,Stop Sign,30,County - State Aid Highway,Bikes were SB Johnson crossing case.  Driver was WB Case making right to NB Johnson and struck biker.,No,None,,,,,6,Male,St. Paul,55106,58,Male,St. Paul,55104,,,,Yes,Possible Injury,Yes,"(44.96902572, -93.04489594)",1,14,1
Pedestrian,Yes,10/30/2017 05:34:00 PM,17-254651,Western District,University Ave W & Pascal St N,4,Yes,30,City,Driver was SB Pascal at University.  Pedestrian claimed to be struck by driver at the corner.  Witness and video evidence shows that pedestrian intentionally walked into vehicle and attempted to make it look like a pedestrian crash.,Yes,Pedestrian,24,Male,St. Paul,55101,,,,,59,Male,Cottage Grove,55016,Yes,Possible Injury,Yes,,,,"(44.95549689, -93.16194109)",1,17,7
Pedestrian,Yes,04/11/2018 04:45:00 PM,18-0073931,Central District,7 Pl E & Jackson St,2,Yes,30,Municiapl State Aid,"Pedestrian was crossing Jackson when vehicle made left turn from WB 7th Place to SB Jackson and struck the pedestrian, who was in crosswalk with walk sign.  Driver cited for failure to yield to pedestrian in crosswalk and inattentive driving.",Yes,Driver,28,Female,Stacy,55079,,,,,64,Male,Eagan,55123,Yes,Suspected Minor Injury,No,,,,"(44.94970639, -93.09099275)",1,12,5
Bike,No,04/22/2017 05:05:00 PM,17-088506,Western District,Selby Ave & Snelling Ave N,4,Yes,30,State - Trunk Highway,"Unknown, no report.  Comments state bike was struck by vehicle and that biker did not want anything done.  Injuries were minor, to knee.",No,None,,,,,,Male,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,No,"(44.946562, -93.166997)",1,17,4
Pedestrian,Yes,04/02/2018 11:25:00 PM,18-067110,Western District,Concordia Ave & Lexington Pkwy N,4,Yes,30,Municiapl State Aid,"Snow and icy conditions.  Driver on Concordia approaching Lexington, observed people on the right shoulder, tried to slow down but lost control of car.  Driver pinned pedestrian between 2 vehicles.  Driver cited for failure to drive with due care.",Yes,Driver,18,Male,St. Paul,55104,,,,,46,Female,St. Paul,55103,Yes,Suspected Minor Injury,Yes,,,,"(44.95118843, -93.14707673)",1,17,7
Pedestrian,Yes,11/06/2017 02:45:00 PM,17-259754,Eastern District,Payne Ave & Maryland Ave E,4,Yes,30,County - State Aid Highway,Pedestrian called after the fact and stated he was jay-walking against the light n/b across Maryland Ave at Payne (against the red). He said while he was trying to beat traffic running n/b his left foot became injured by a w/b car. He said the car nearly struck him or hit his leg as he ran n/b across traffic. He could only tell officers that the car was black in color. He did not see what make or model the car was and could not describe any driver. His info of the incident was vague and limited.  No further info.,No,None,30,Male,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,Yes,Possible Injury,Yes,,,,"(44.97747097, -93.07349307)",1,13,1
Pedestrian,Yes,03/16/2018 11:20:00 PM,18-054687,Western District,Jessamine Ave W & Beulah Ln,2,No,30,City,Driver was WB on Jessamine and struck pedestrian who was walking WB in the roadway.  Case is still being actively investigated.,No,None,26,Male,Minneapolis,55419,,,,,29,Male,Bloomington,55425,Yes,Suspected Serious Injury,Yes,,,,"(44.97383217, -93.15061088)",1,2,4
Bike,Yes,04/26/2017 01:16:00 PM,17-091811,Eastern District,Johnson Pkwy & Maryland Ave,4,Yes,30,County - State Aid Highway,"Vehicle turning left from WB Maryland to SB Johnson Pkwy, stopped to avoid crashing into a pedestrian who was illegally in the roadway (pan handling).  While stopped, a biker rode into the stopped vehicle's left rear quarter panel.  No injuries.",Bike,None,,,,,60,Male,St. Paul,55106,40,Male,South St. Paul,55075,,,,No,None,No,"(44.977553, -93.047097)",1,13,1
Pedestrian,Yes,11/10/2017 05:31:00 PM,17-262948,Western District,University Ave W & Lexington,6,Yes,30,County - State Aid Highway,An unknown motor vehicle was making a left turn from Lexington Parkway on to University Ave and the pedestrian ran south across University Ave and into the side of the motor vehicle. The motor vehicle did not stop after the incident.,No,None,36,Female,St. Paul,55104,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,,,,"(44.95553622, -93.14636328)",1,9,7
Pedestrian,Yes,10/30/2017 06:36:00 PM,17-254701,Eastern District,White Bear Ave & Wilson St,4,No,30,County - State Aid Highway,"Vehicle SB White Bear Ave, Ped crossing at Wilson, with a stroller and child.  Vehicle struck peds.",No,None,33,Female,St. Paul,55119,,,,,22,Male,Oakdale,55128,No,None,No,,,,"(44.95416162, -93.02528831)",1,16,2
Pedestrian,Yes,04/09/2018 08:45:00 AM,18-071925,Eastern District,Arcade St & Case Ave,3,Yes,30,County - State Aid Highway,"SRTS.
Pedestrain was crossing Arcade with a walk signal.  Vehicle failed to stop for red light and struck pedestrian.  Vehicle fled scene.  Pedestrian was walking to school.",No,None,14,Female,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Minor Injury,Yes,,,,"(44.97036126, -93.0658675)",1,13,1
Pedestrian,Yes,05/01/2017 02:35:00 PM,17-095986,Central District,Grand Ave & Smith Ave N,4,Yes,30,Municipal State Aid,"Vehicle was EB grand making a left turn onto NB Smith.  Pedestrian was crossing NB across smith in E x-walk with right of way.  Driver struck pedestrian, stating he did not see him.  Suspected minor injury.  Driver cited.",Yes,Driver,35,Female,St. Paul,55101,,,,,39,Male,Mahtomedi,55115,Yes,Suspected Minor Injury,Yes,,,,"(44.941304, -93.109407)",1,11,5
Pedestrian,Yes,10/24/2017 06:36:00 AM,17-249947,Central District,7th St E & Wall Street,Private,No,10,Parking Lot,Driver struck pedestrian in parking lot of gas station.,Yes,Driver,72,Male,Cottage Grove,55016,,,,,26,Male,St. Louis Park,55426,Yes,Possible Injury,No,,,,"(44.95152343, -93.08736021)",1,12,5
Ped2,,10/03/2016 02:25:02 PM,16-202446,,,,,,,,,,1,Female,St. Paul,55104,,,,,,,,,Yes,Suspected Minor Injury,Yes,,,,,1,,
Bike,No,05/11/2017 09:23:00 PM,17-105425,Western District,University Ave W & Hamline Av N,5,Traffic Signal,30,County - State Aid Highway,No report made.  Vehicle struck bike.  No further information available.,No,None,,,,,,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,Yes,"(44.955637, -93.156821)",1,17,7
Ped2,,12/30/2016 09:45:02 PM,16-266642,Western District,Selby Ave & St. Alband,,,,,2nd Pedestrian from above,,,19,Male,St. Paul,55104,,,,,,,,,,,,,,,"(44.946579, -93.128823)",1,9,7
Pedestrian,Yes,10/16/2017 02:07:00 PM,17-244119,Western District,University Ave W & Pascal St N,Private,No,10,Parking Lot,Vehicle backing in parking lot struck pedestrian.,No,None,29,Female,St. Paul,55119,,,,,24,Female,Eagan,55122,Yes,Possible Injury,Yes,,,,"(44.95546582, -93.16198804)",1,17,7
Bike,No,05/08/2017 04:39:00 PM,17-102532,Eastern District,7th St E & Payne Ave,4,Traffic Signal,30,State - Trunk Highway,Bicycle was riding on sidewalk and entered crosswalk as driver was making a right turn and looking left.  Officers were unable to determine who was at fault.  Very minor injuries.,No,None,,,,,59,Female,St. Paul,55106,55,Male,St. Paul,55106,,,,Yes,Suspected Minor Injury,No,"(44.955898, -93.078327)",1,13,3
Bike,Yes,05/06/2017 09:41:00 PM,17-101105,Western District,Howell St N & Marshal,2,Stop Sign,30,County - State Aid Highway,"Vehicle EB Marshall, making left turn to NB Howell.  Bike EB Marshall, making left turn onto NB Howell.  Conflicting information from both parties.  No independent witnesses.  Unknown who was at fault.  Minor injuries, not transported to hospital.",No,None,,,,,25,Male,St. Paul,55103,35,Male,Oakdale,55128,,,,Yes,Possible Injury,No,"(44.948401, -93.180722)",1,17,4
Ped2,,10/03/2016 02:25:01 PM,16-202446,,,,,,,,,,20,Female,St. Paul,55104,,,,,,,,,Yes,Possible Injury,Yes,,,,,1,,
Ped2,,04/17/2017 04:00:03 PM,17-084045,,,,,,,ped 4 of 4,,,30,Male,St. Paul,55104,,,,,,,,,Yes,Possible Injury,No,,,,,1,,
Pedestrian,Yes,04/22/2018 05:15:00 PM,18-082487,Central District,Rice St & Maryland Ave W,0,No,10,Private,Vehicle was driving in the parking lot and struck a pedestrian.  Vehicle fled scne.,No,None,36,Male,St. Paul,55106,,,,,,Unknown,Unknown,Unknown,No,None,No,,,,"(44.97741813, -93.10590845)",1,3,3
Pedestrian,Yes,11/08/2017 07:21:00 PM,17-261515,Central District,Robert St N & 10th St E,5,Yes,30,State - Trunk Highway,Vehicle 1 was travelling westbound on 10th St and turning to travel southbound onto Robert St. Vehicle 1 struck Pedestrian 1 in crosswalk. Pedestrian 1 was walking eastbound on the south side of Robert St crossing Robert in the marked crosswalk.,No,None,53,Female,Inver Grove Heights,55077,,,,,51,Female,Red Wing,55066,Yes,Possible Injury,No,,,,"(44.95133205, -93.09463124)",1,12,5
Bike,Yes,04/23/2018 06:46:00 PM,18-083286,Central District,Galtier St & Thomas Ave,2,No,30,City,"Biker was WB Thomas.  Drive was EB, making left to NB Galtier and failed to yield, striking the bike.  Driver fled scene.",No,None,,,,,20,Male,St. Paul,55103,,Unknown,Unknown,Unknown,,,,Yes,Suspected Minor Injury,No,"(44.95946336, -93.1106395)",1,10,7
Pedestrian,No,05/09/2017 09:14:00 PM,17-103574,Central District,Rice St & Pennsylvania,6,Traffic Signal,30,County - State Aid Highway,Vehicle vs. pedestrian.  Waiting on report.,No,None,50,Female,Unknown,Unknown,,,,,,Unknown,Unknown,Unknown,Yes,Suspected Serious Injury,Yes,,,,"(44.960314, -93.10595)",1,10,7
